Day,Date,Role,Name,Start,End,Break min,Hours,Rate £/h,Cost £
Monday,,Duty manager,,,,,,,
Monday,,Bar,,,,,,,
Monday,,Cocktail bar,,,,,,,
Monday,,Barback,,,,,,,
Monday,,Glass collector,,,,,,,
Monday,,Door,,,,,,,
Tuesday,,Duty manager,,,,,,,
Tuesday,,Bar,,,,,,,
Tuesday,,Cocktail bar,,,,,,,
Tuesday,,Barback,,,,,,,
Tuesday,,Glass collector,,,,,,,
Tuesday,,Door,,,,,,,
Wednesday,,Duty manager,,,,,,,
Wednesday,,Bar,,,,,,,
Wednesday,,Cocktail bar,,,,,,,
Wednesday,,Barback,,,,,,,
Wednesday,,Glass collector,,,,,,,
Wednesday,,Door,,,,,,,
Thursday,,Duty manager,,,,,,,
Thursday,,Bar,,,,,,,
Thursday,,Cocktail bar,,,,,,,
Thursday,,Barback,,,,,,,
Thursday,,Glass collector,,,,,,,
Thursday,,Door,,,,,,,
Friday,,Duty manager,,,,,,,
Friday,,Bar,,,,,,,
Friday,,Cocktail bar,,,,,,,
Friday,,Barback,,,,,,,
Friday,,Glass collector,,,,,,,
Friday,,Door,,,,,,,
Saturday,,Duty manager,,,,,,,
Saturday,,Bar,,,,,,,
Saturday,,Cocktail bar,,,,,,,
Saturday,,Barback,,,,,,,
Saturday,,Glass collector,,,,,,,
Saturday,,Door,,,,,,,
Sunday,,Duty manager,,,,,,,
Sunday,,Bar,,,,,,,
Sunday,,Cocktail bar,,,,,,,
Sunday,,Barback,,,,,,,
Sunday,,Glass collector,,,,,,,
Sunday,,Door,,,,,,,
