Day,Date,Role,Name,Start,End,Break min,Hours,Rate £/h,Cost £
Monday,,Head chef,,,,,,,
Monday,,Sous chef,,,,,,,
Monday,,Chef de partie,,,,,,,
Monday,,KP,,,,,,,
Monday,,Pass,,,,,,,
Monday,,Host,,,,,,,
Monday,,Server,,,,,,,
Monday,,Runner,,,,,,,
Tuesday,,Head chef,,,,,,,
Tuesday,,Sous chef,,,,,,,
Tuesday,,Chef de partie,,,,,,,
Tuesday,,KP,,,,,,,
Tuesday,,Pass,,,,,,,
Tuesday,,Host,,,,,,,
Tuesday,,Server,,,,,,,
Tuesday,,Runner,,,,,,,
Wednesday,,Head chef,,,,,,,
Wednesday,,Sous chef,,,,,,,
Wednesday,,Chef de partie,,,,,,,
Wednesday,,KP,,,,,,,
Wednesday,,Pass,,,,,,,
Wednesday,,Host,,,,,,,
Wednesday,,Server,,,,,,,
Wednesday,,Runner,,,,,,,
Thursday,,Head chef,,,,,,,
Thursday,,Sous chef,,,,,,,
Thursday,,Chef de partie,,,,,,,
Thursday,,KP,,,,,,,
Thursday,,Pass,,,,,,,
Thursday,,Host,,,,,,,
Thursday,,Server,,,,,,,
Thursday,,Runner,,,,,,,
Friday,,Head chef,,,,,,,
Friday,,Sous chef,,,,,,,
Friday,,Chef de partie,,,,,,,
Friday,,KP,,,,,,,
Friday,,Pass,,,,,,,
Friday,,Host,,,,,,,
Friday,,Server,,,,,,,
Friday,,Runner,,,,,,,
Saturday,,Head chef,,,,,,,
Saturday,,Sous chef,,,,,,,
Saturday,,Chef de partie,,,,,,,
Saturday,,KP,,,,,,,
Saturday,,Pass,,,,,,,
Saturday,,Host,,,,,,,
Saturday,,Server,,,,,,,
Saturday,,Runner,,,,,,,
Sunday,,Head chef,,,,,,,
Sunday,,Sous chef,,,,,,,
Sunday,,Chef de partie,,,,,,,
Sunday,,KP,,,,,,,
Sunday,,Pass,,,,,,,
Sunday,,Host,,,,,,,
Sunday,,Server,,,,,,,
Sunday,,Runner,,,,,,,
