Day,Date,Role,Name,Start,End,Break min,Hours,Rate £/h,Cost £
Monday,,Duty manager,,,,,,,
Monday,,Bar,,,,,,,
Monday,,Cellar,,,,,,,
Monday,,Kitchen,,,,,,,
Monday,,Floor,,,,,,,
Monday,,Glass collector,,,,,,,
Monday,,Door,,,,,,,
Tuesday,,Duty manager,,,,,,,
Tuesday,,Bar,,,,,,,
Tuesday,,Cellar,,,,,,,
Tuesday,,Kitchen,,,,,,,
Tuesday,,Floor,,,,,,,
Tuesday,,Glass collector,,,,,,,
Tuesday,,Door,,,,,,,
Wednesday,,Duty manager,,,,,,,
Wednesday,,Bar,,,,,,,
Wednesday,,Cellar,,,,,,,
Wednesday,,Kitchen,,,,,,,
Wednesday,,Floor,,,,,,,
Wednesday,,Glass collector,,,,,,,
Wednesday,,Door,,,,,,,
Thursday,,Duty manager,,,,,,,
Thursday,,Bar,,,,,,,
Thursday,,Cellar,,,,,,,
Thursday,,Kitchen,,,,,,,
Thursday,,Floor,,,,,,,
Thursday,,Glass collector,,,,,,,
Thursday,,Door,,,,,,,
Friday,,Duty manager,,,,,,,
Friday,,Bar,,,,,,,
Friday,,Cellar,,,,,,,
Friday,,Kitchen,,,,,,,
Friday,,Floor,,,,,,,
Friday,,Glass collector,,,,,,,
Friday,,Door,,,,,,,
Saturday,,Duty manager,,,,,,,
Saturday,,Bar,,,,,,,
Saturday,,Cellar,,,,,,,
Saturday,,Kitchen,,,,,,,
Saturday,,Floor,,,,,,,
Saturday,,Glass collector,,,,,,,
Saturday,,Door,,,,,,,
Sunday,,Duty manager,,,,,,,
Sunday,,Bar,,,,,,,
Sunday,,Cellar,,,,,,,
Sunday,,Kitchen,,,,,,,
Sunday,,Floor,,,,,,,
Sunday,,Glass collector,,,,,,,
Sunday,,Door,,,,,,,
