Day,Date,Role,Name,Start,End,Break min,Hours,Rate £/h,Cost £
Monday,,Duty manager,,,,,,,
Monday,,Bar,,,,,,,
Monday,,Kitchen,,,,,,,
Monday,,Floor,,,,,,,
Tuesday,,Duty manager,,,,,,,
Tuesday,,Bar,,,,,,,
Tuesday,,Kitchen,,,,,,,
Tuesday,,Floor,,,,,,,
Wednesday,,Duty manager,,,,,,,
Wednesday,,Bar,,,,,,,
Wednesday,,Kitchen,,,,,,,
Wednesday,,Floor,,,,,,,
Thursday,,Duty manager,,,,,,,
Thursday,,Bar,,,,,,,
Thursday,,Kitchen,,,,,,,
Thursday,,Floor,,,,,,,
Friday,,Duty manager,,,,,,,
Friday,,Bar,,,,,,,
Friday,,Kitchen,,,,,,,
Friday,,Floor,,,,,,,
Saturday,,Duty manager,,,,,,,
Saturday,,Bar,,,,,,,
Saturday,,Kitchen,,,,,,,
Saturday,,Floor,,,,,,,
Sunday,,Duty manager,,,,,,,
Sunday,,Bar,,,,,,,
Sunday,,Kitchen,,,,,,,
Sunday,,Floor,,,,,,,
